腿 搁在办公桌上,办公桌
对不住 再继续问我就要跳脱衣舞,对不住
在你边上扭一扭 请你喝杯酒,杯酒
我在桌上写个电话等着扣我玩,电话
不久 有人加我微信问我什么叫做flow,微信
我听了他的歌后发现,发现
我该怎么教导他呢 啊,教导
去新东方 学厨师？好伐？,厨师
读书读不出么快点去死！好吧！,读书
最近累了 烦了 饿了 不知该干什么了,不知
但是为了生存我和哥们儿总得吃点什么呢,哥们儿
路过咖啡店 里面却只有千层蛋糕配榴莲,榴莲
然而我却想喝碗鸡汤 喝着可乐有点甜,鸡汤
我的兄弟拉着我的手 带我到了一家快餐店,快餐店
这是安徽老乡鸡 就这样出现我眼前,老乡
自从有了老乡鸡 妈妈不用在家做饭,老乡
上班不愁没地方吃饭 加班不会饿得团团转,加班
老乡鸡一年就餐人次就有四千万,就餐
口碑也不烂 排队长龙一直都不断 怎么办,长龙
安徽最大的中式快餐名扬华夏,名扬
全国连锁店面 已经超过400家,连锁店
品牌菜品老母鸡汤 味道尝起来 真的非常香,菜品
土鸡 土 养180天 农夫山泉粘火炖制味道纯正鲜,土鸡
我爱老姜 配老酱 配蒜香 喝酒酿,老酱
把分店从九江开到了新疆,分店
妹坨 都在 微博 说 老乡鸡 好吃过火锅,火锅
来份鸡汁汤包加梅菜扣肉,鸡汁
我以前总是担心上网会把我给饿死,饿死
直到老乡鸡外卖传单贴在了寝室,外卖
鼠尾草下楼帮我拿下竹笋蒸鸡翅,鼠尾草
呃哼 自己点的自己拿啊关我屁事,屁事
我不爱哈根达斯啊
我只爱老乡鸡 我只要老乡鸡,老乡
不吃老乡鸡的全部拉到门口枪毙,枪毙
我要把老乡鸡从安徽开到洛杉矶,洛杉矶
让洋人全部都吃老乡鸡,老乡
让中国的公鸡也戴戴杨基,杨基
肯德基广告花钱请了拖鞋跟YoungG,肯德基
我也拍广告专请活结打杨幂 so what,专请
午餐时间到? 我今天该吃什么呢,午餐时间
咳咳? 完全没头绪走完美食街又走回去,美食街
在街角转至? 看到了几家仿制,街角
小乡鸡? 老母鸡? 老乡鸡才是正统专制,老母鸡
你知道我们每天 hustle hard play hard,知道
是Work hard才让我拥有money带到吃货世界花,吃货
花半天赚钱 我再花半天花,赚钱
这种boss的世界不懂得拖出去拉到房间外边去吧,拖出去
也许是脑袋撞头?? 在你的梦里梦游,撞头
有一股香味让我想要原地中投,原地
老乡鸡三十分钟完工就像我写完这verse的速度?,老乡
但质量绝不退步? 轻而易举把你代入,代入
沉浸在行云流水的flow dope so 别再管po,行云流水
想吃就大口的go oh 好吃的无法说 no,好吃
吃绿色的食品 安全度够 A+的等级看的通透,度够
入口你味蕾感觉像boom 仿佛在太空感觉像梦,味蕾
这是老乡鸡 有他的美味秘密,老乡
精湛的刀功展示他的美食造诣,刀功
这是老乡鸡 有他的传奇经历,老乡
鲜美的鸡汤让我沉迷不能自己,沉迷
我走在了路上 环顾了路旁 漫步在美食广场,走在
映入眼帘老乡鸡那就是我即将要去的地方,要去
保持着情绪依旧高昂 依旧散发着万丈光芒,万丈光芒
他围绕着神秘的磁场 每天早上呼唤我起床,起床
这种味道的奇妙让我为之神魂颠倒,味道
我想大声惊声尖叫放声大嚎变得鬼迷心窍,放声
中药再搭配 佐料 绝对 能起到绝效,佐料
果真不出意料客人吃了拍手叫好,意料
量变渐变蜕变发生质? 质变 这是我们的理念,量变
一根烟 外加一碗面 就像台湾歌手吴宗宪,台湾歌手
我的名字不要装作听不见,听不见
再帮我的homie龙崎 加上一碗面,龙崎
深夜飞行 我还没落地,落地
脚踩着棉花 思维变得不清晰,思维
法老又roll了一根 看见鼠尾草转身,鼠尾草
打开电视看新闻 oh yeah,电视
我又看见一束紫色的光线,紫色
白色的烟雾笼罩着房间,烟雾
打开了手机进了直播间,直播间
Roller再roll一口
负面情绪都滚走,滚走
有什么不爽的
请你憋着天亮后再说,天亮
把天上的星星都摘下来
一笔一画记下这夜的告白,告白
是不是要猜想能否获得赞赏,赞赏
喝下这杯橙汁就回到 last night,橙汁
现在听着这首你开始起舞,起舞
或许你我没有太深的基础,基础
试图通过意念将时间凝固,意念
才发现我无法解答这题目,解答
我正在漫步,漫步
两只耳朵漫进了迷幻鼓点,漫进
比八分钟前我更加饿了
听见一个声音叫着谁想要烤地薯,地薯
我像只地鼠般钻出衣物,地鼠
爬出我的壁橱 时间越来越慢,壁橱
壁炉上的巧克力在我的眼前慢慢融化,壁炉
泰迪熊站起宛如安徒生版2pac,泰迪熊
音响像爆竹 而旋律是暴徒,暴徒
这时倾盆暴雨袭来 我跑向棕榈树,棕榈树
盘膝坐下头发脱落 感到变成冥想的僧侣,盘膝
嘘 别说话,说话
我朋友鼠尾草,鼠尾草
而那只猪一周前
还是他的好朋友加知己,知己
鼠尾草也本想就此埋了砍刀摘掉面具,鼠尾草
怎么能让真的杀手从此消失,杀手
我在思想的公路奔驰了几个小时,奔驰
打开厕所里的阳光,厕所
我看见水蒸气凝成一块棉花糖,凝成
冰冷的温度回暖 接下来要忙,回暖
重新roll了一根 我更靠近了天堂,天堂
肩膀越靠越下 埋进沙发变的煎熬,埋进
天花板和地板开始颠倒,天花板
坏习惯的前兆,坏习惯
习惯性的戴上一个棉帽,棉帽
抽出最后一根芙蓉王 镜子是法老或鼠尾草,鼠尾草
白毛巾红的像刚用过的护舒宝,用过
想点一碗面可没钱用支付宝,支付宝
只能把房间门给反锁好,反锁
害怕police突然破门把我给打扰,破门
这时不管谁来叫我谁来喊我我都不care
我满脑子只想吃碗水饺或者睡个好觉,水饺
我曾经不懂事浪费时间去为你改变,浪费时间
现在你失去我才发现 其实没理由,失去
你发表状态只想表达有点疲惫寂寞,表达
我竟然非常享受身边有眼光的妞,眼光
曾经你站我旁边 我帮你点燃香烟,香烟
对视的瞬间害羞的像如今的我看到了钱,对视
欲望把我催眠 说再多慌言未免,催眠
太把你想的美好但鲜艳是警告危险,警告
你的话憋太久记不得,记不得
喝到断片但我梦见你的脸是清楚的,断片
为了遇见辛苦了 透明的我亲不得,我亲
让我不再脆弱因为内心披上金属壳,披上
有你的存在 从去年就忘记,忘记
甚至不在乎 别人给的奖励,奖励
但夜里不小心翻出了没删的短信的,没删
痛苦的根源都来自回忆,根源
作用于神经在随时随地,神经
比如在熟悉的地方有她的痕迹,痕迹
刺激着心里面但还要装作沉寂,装作
经过她家门口 故意看了很久
装作她的朋友 半天都不想走,装作
兄弟都看不下去了连自己也无法忍受,看不下去
而接她下班的人又换了一个在等候,下班
身边不缺狐狸精 他们有的来自微信,微信
聊天的话题随性 biggie tupac死于非命,话题
也有的认识在酒吧 喝红牛配红酒,红酒
大部分会跟我回家 是朋友的朋友,朋友
如果说在错的时间遇到对的人无法肯定,遇到
一杯野格加冰块为了能让我冷静,野格
要么不在乎 她也会有人爱
要么就当她死了这一切都不存在,存在
我只能自己心里清楚的,只能
你表情凝固了,凝固
一放完这首歌,放完
你会更幸福的
最值得庆祝的,庆祝
新闻播又撞了车,新闻
也许不应该喝那么多酒,应该
经过桐梓林的下个路口,桐梓
下一刻在我醒来的时候,醒来
希望出车祸被撞的会是你男朋友,男朋友
Hello 下雨天,下雨天
乌云遮住希望的眼,遮住
惶恐不安 你是否听得见,听得见
没什么特别 在一切还是未知以前,未知
静静享受暴风雨的缠绵,暴风雨
五年级想学吉它被拒绝以后,吉它
生物课写饶舌歌词被老师批斗,生物课
超大的裤子和耳机 同学的挑衅,超大
外表轻狂但明白一步一个脚印,外表
从没忘记第一次听HIPHOP多过瘾,过瘾
尽管当时没拿得出手的作品,出手
随身听陪伴我和上下学的脚踏车,脚踏车
我甚至不懂 什么叫原创,原创
但 即兴都翻唱 肯定没人原谅,翻唱
也许 身边只有不屑的眼神,不屑
也许 爸妈不认为我有做音乐的潜能,爸妈
在梦里见过成功 现实却违背初衷,违背
别让我走捷径 我不怕全盘输空,走捷径
当音乐不说真话 多尴尬,真话
让hiphop stand up
当你悄悄走进我的世界,走进
在冬天即将来临的瞬间,即将来临
整个夜晚都变得太黑,变得
大部分时间 我活在记忆里面,记忆
突然发现这是一种逃避 而路还在前面,逃避
该负的责任 该成熟的人生,人生
当我快要放弃 是你让我有实现的可能,放弃
我 还是不是我 曾经对梦想的执着,执着
像流浪的蜗牛 一无所有 还能撑多久,能撑
躲在壳里看日落,壳里
有一点失落 遇见和离别,离别
当树叶变黄快冰冻的季节,冰冻
当你悄悄走进我的世界,走进
在冬天即将来临的瞬间,即将来临
整个夜晚都变得太黑,变得
爸爸说信仰来自内心对梦的执着,执着
当我踏上这条路时他们说我走火入魔,踏上
没人拦得住我 从失败到现在像凤凰般复活,复活
音乐掌握了我的脉搏,脉搏
给我灵感和力量 虽然看起来很唆,看起来
虽然被看成笑话被冷落,冷落
但是我的维纳斯在前面等我,维纳斯
那是我和她的承诺 我说过,承诺
永远不会放下手中麦克风,麦克风
压力变成燃料 把我冲向太空,冲向
我是打不死的小强 你踩我不中,打不死
我做这些为了家人和兄弟,家人
为了我的女孩 给我的勇气,勇气
十年的青春 我们依然在这,青春
整个夜晚都变得太黑,变得
PROD BY 老道,老道
下午420在studio录音,录音
和我的homeboyz roll something
你的电话确实忘了接起,接起
但我是在为你making money
昨晚party 确实有个honey
咬我耳朵是想问个问题,问个问题
她问今晚哪里可以方便休息,休息
我只想让你们所有人turn up,所有人
然后赚更多钱给我的宝贝花花花,花花
所以你别信风言和风语,风语
没人能比你的风韵,风韵
喜欢你的口红和香水,口红
和homie住在湖南的湘北,湘北
just one night我不需要那伤悲,需要
需要人陪 我喊你来我家看电影,电影
一朵玫瑰 一大堆发了霉的剧情,朵玫瑰
伤痕累累 我们还是保持好距离,距离
一口入肺 让我给你弹尤克里里
怪我 没对你花言巧语
说太多就揭了我的老底
再call 下次我再找你
我爱国 也爱上你的桃李,爱上你
女人的心思就像长沙的天气,长沙
才倾盆大雨一瞬间就能天晴,天晴
我苦口婆心你当听和尚念经,念经
你姐妹已告诉你要自我保护他从不把谁当回事,姐妹
我就这么干 随你怎么说
当天使和恶魔都集体出现 在我身上基因突变,基因突变
欢场无真爱 你说得对,欢场
其实不存在 诶我的妹,存在
只要银行数据翻了倍,数据
那再换一位也无所谓 anyway
你只想找乐子 很喜欢大个子 这城市的天快把你给热死,乐子
想换冷气足的地 单独相处 去看一部戏再跳一场舞,想换
我似笑非笑 说怕你有诈 但你没听懂 我话里有话,听懂
你说我认怂 我真不认同 情场的浪子都心狠手辣,情场
经常面对 被拿来垫背 说我在哪个宴会,垫背
事实是她举起杯子饶过了吧台到我面前问你有酒吗,吧台
听说我涉猎的范畴从出生的1988到1998,涉猎
我说是的 你可以试着 和我交流 但并不适合,交流
当时间变的飞快,飞快
好多重叠像是意外,重叠
我的童年站在对岸 对我说,对岸
继续走吧别管遗憾,继续
都30岁了是否习惯,习惯
但我的路才走了一半
还在做着梦呢
每次出手都得很帅,出手
我的haters还在等待,等待
等待机会让我滚蛋,滚蛋
怎么可能我得,可能
在这个超物质的时代,物质
谁能够看到名利之外,名利
那些依赖 你的成败,成败
让你离不开,离不开
还在没日没夜干 yep
还得坚持做的超帅,超帅
留给父母亲的交待,父母亲
是我最违心的要害,违心
但我得all day all night
把黑的与白的彩色的世界的对错都给看得清,看得清
有时候会分不清看不清心不定却想被看得起,看得起
谁看不起我 也不是一件很重要的事情,看不起
我得看得起自己 对得起自己,看得起
还得时刻保持状态,时刻
还得跟上这个时代,时代
只想做自己的菜
坚持我爱的比如westside的,比如
却想不开 现在奇怪的style,想不开
我得创造未来,创造
在all day all night
每次出手都得很帅,出手
我的haters还在等待,等待
等待机会让我滚蛋,滚蛋
怎么可能我得,可能
在这个超物质的时代,物质
谁能够看到名利之外,名利
那些依赖 你的成败,成败
让你离不开,离不开
还在没日没夜干
没日没夜fight
我说谁 也别来管我
谁也别来管 yep
还得坚持做的超帅,超帅
留给父母亲的交待,父母亲
是我最违心的要害,违心
但我得all day all night
眼角的余光 擦过你肩膀,余光
迂回过帘窗 到葬梦的地方,过帘
眼睁睁看倔强被遗忘,遗忘
让绝望筑城墙,城墙
跟命运书血状 又怎样,书血状
verse1 发表流行偏好理论我是凯恩斯,流行
抨击古典派 最具备影响力的权威学术再问世,古典派
替脏的女孩揩唇脂 把伤痕搭建成温室,替脏
当我挑战规矩时你却在跟条款讲遵旨,遵旨
天赋给我用不尽的想象力,天赋
蓝图构建于不肯倦怠的铅笔和橡皮,橡皮
果敢好比下象棋 炮二平五就将军,下象棋
不忧柔的巨鳄出没 虾兵蟹将要当心,巨鳄
让位自负做我股东 不可能比你更普通,让位
专打牛皮虎的武松 不服输是我的武功,专打
像太和殿之于故宫 陆家嘴之于浦东,太和殿
捆绑领袖口的纽扣是我爱炫耀的苦衷,纽扣
我来自贫寒过往不如你殷实,殷实
如果不达目的不罢休 和金钱亲吻不如你矜持,矜持
但那泥土里的水晶石 经过打磨后就成星矢,打磨
眼角的余光 擦过你肩膀,余光
迂回过帘窗 到葬梦的地方,过帘
眼睁睁看倔强被遗忘,遗忘
让绝望筑城墙,城墙
跟命运书血状,书血状
又怎样
像不常见的电影 只供资深者点映,只供
从黑白默片向璀璨的金属巨幕演进,巨幕
把担忧换成愿景 坚定在束缚中前行,愿景
让创作的每个角色都能诠尽全民原型,诠尽
当片方强调开拍之前需要筹措现金,开拍
整个市场却吝啬到像遭遇流动性陷阱,陷阱
所以你被勒令限行 不得不徒步先行,限行
呼唤意志力起立做保卫梦想的宪兵,意志力
但是依然没有投资方 你张望在等候之窗,投资方
回味怀才不遇之殇 把愤怒涂鸦到纸张,涂鸦
当偶然环顾四方 唯独你磁场滞涨,滞涨
多渴望把积攒多年的能量 都释放,积攒
俗话讲一物降一物 看你有什么强度,一物
晦气还是吉祥物 出发还是卷床褥,床褥
若只剩空账户 和遗憾陪你上路,上路
别懊恼你曾是全中国最值钱的项目,懊恼
眼角的余光 擦过你肩膀,余光
迂回过帘窗 到葬梦的地方,过帘
眼睁睁看倔强被遗忘,遗忘
让绝望筑城墙,城墙
跟命运书血状,书血状
又怎样
小灰的男朋友,小灰
这首给不臣服于这个游戏规则的开拓者,首给
给所有不忘初心仍然坚守自我的人,初心
隔断内和外世界的叶片,隔断
闭合构成你和我的界限,闭合
告诉我保持坏坏的方法,告诉
如何学会薄情我想借鉴,薄情
偷偷热吻就请远离窗口,热吻
窗外的心会被划出伤口,心会
那个过去我常去的房间,房间
百叶窗后另个人在装修,百叶窗
模棱两可我猜测那是你的香波,香波
毛巾上晦涩的残味请让我叫它磅礴,残味
拆开久违的包裹 替细节都画下包络,包络
超过真实边界的乐观都不想被包括,边界
拿记忆当素材就能临摹出好多图,临摹
只可惜关于你和我 每一幅都突兀到夺目,夺目
双方都未说服 当愤怒一旦起飞之后就难着陆,着陆
气氛就好像啤酒被你我反复放进微波炉,微波炉
把爱你记便签 不献鸳鸯不羡仙,便签
自以为退让会成全代表戒指的圆圈,退让
而你对我的评价却总是越来越片面,片面
说在我体内找不到安全感一点点,安全感
因为你往北方行走我却总奔向南边,总奔
因为我笃定唯一而你悄然择机善变,善变
因为你渴望平原 但是我步履山巅,步履
因为我是乌云点缀不了你要的蓝天,点缀
隔断内和外世界的叶片,隔断
闭合构成你和我的界限,闭合
告诉我保持坏坏的方法,告诉
如何学会薄情我想借鉴,薄情
偷偷热吻就请远离窗口,热吻
窗外的心会被划出伤口,心会
那个过去我常去的房间,房间
百叶窗后另个人在装修,百叶窗
爱 是你对我说过的话
爱 是你对他说过的话
爱 是你不用思考脱口而出就对别人说过最蹉跎的话,蹉跎
你像脱轨的毕加索 把具像风格加锁,加锁
用爱为背叛加工 再拿扭曲把它架空,扭曲
如何实现坦诚当你习惯紧闭百叶窗,百叶窗
为何总是转过身等戴好面具才卸妆,卸妆
差别就在本质上 靠近你等同自伤,等同
怪我可笑的情感量被释放得不适当,可笑
恨是被你我用爱浇灌长大的树苗,用爱
你是我用浓重阴影涂抹黑的素描,素描
拔掉曾经主导过我情绪的触角,拔掉
喝一口消灭藏在我体内幼稚的毒药,毒药
为你开一扇空门 但总归洗不掉风尘,洗不掉
道歉虽携带温存 挽不回我对你封存,温存
提醒我去修改整个情歌制作的工程,情歌
这是你的功能,功能
隔断内和外世界的叶片,隔断
闭合构成你和我的界限,闭合
告诉我保持坏坏的方法,告诉
如何学会薄情我想借鉴,薄情
偷偷热吻就请远离窗口,热吻
窗外的心会被划出伤口,心会
那个过去我常去的房间,房间
百叶窗后另个人在装修,百叶窗
Chorus  暴露在外面的手脚腕管,脚腕
百叶窗的拉绳被剪断,剪断
你见过最下作的手段,下作
Verse1  十一点 星期三
在被害人大概被害的这期间,被害人
有目击者 不经意间,目击者
目睹怪人尾随饶舌界的吴亦凡,吴亦凡
嫌疑人和小人成交,嫌疑人
密谋把凯恩斯焚烧,密谋
跟踪艺术家到城郊,艺术家
从背后把咕噜摁倒
阻止他呼喊反锁他的门窗,反锁
伪造点证据让它顺理成章,伪造
但凡他存在你就黯然神伤,但凡
就剥夺他自由把他手脚捆绑,捆绑
恭喜你成功谋杀中国唯一的Ture Star,谋杀
Chorus  暴露在外面的手脚腕管,脚腕
百叶窗的拉绳被剪断,剪断
你见过最下作的手段,下作
Verse2  十一点 星期三
距被害人已经被害的第七天,被害人
有守七者 不经意间,有守
瞥见有黑影蹲在灵堂的另一边,灵堂
蜷缩在角落里颤抖,蜷缩
低头问他尚能饭否,饭否
人不人鬼不鬼让围观的人都惊慌失色,围观
一边跑一边叫有鬼啊救命裤子都湿了,有鬼
只剩下点雪人留下来问他回来做什么,雪人
他说他不甘心不愿意命被小人当纸折,纸折
恭喜你成功升级中国唯一的Ture Star,升级
Chorus  暴露在外面的手脚腕管,脚腕
你见过最下作的手段,下作
Verse1  有你我才想要飞,想要
有你我才在疲倦的时候不喊累,喊累
有你凌晨是黄金岂胆敢去浪费,浪费
有你孤独是力量不怕没人陪,力量
有你牢牢抓住我几度快松的手,抓住
有你打住我就快要说放弃的口,打住
有你让我意识到我做的还不够,不够
有你我是小当家大导演有你call me cold,当家
有你了解我前途上未意料的蜿蜒,意料
有你谅解错误对我来说再所难免,谅解
有你倾听我埋藏在文字中的难言,难言
例如矫情话到嘴边吞回但是抑郁难掩,吞回
有你关心过的伤情开始变得轻微,伤情
有你鼓励过的成就让我感到欣慰,欣慰
有你批评过的失准重新找到定位,失准
有你肯定过的实力不随任何旁人进退,进退
Hook  一个人寻找,寻找
Verse2  有你区别于势利眼区别于墙头草,墙头草
区别于左右逢源区别于处处讨好,区别
区别于人情事故群捧群朝围观聒噪,人情事故
区别于虚伪的人们虚伪的鼓掌叫好,鼓掌
当所谓爱你的人不在乎你做过什么写的什么
唱了什么
所谓恋人不知道你要的什么,恋人
别让自己忘记放弃对你来说意味什么,意味
有人代表落幕而你代表启程,代表
有人代表金汤匙你代表底层,汤匙
有人代表秀场唱虚假的理论,秀场
但别让你的质疑由别人代表你问,质疑
愿你习惯这个世界的公平精分,精分
愿你和你的金钱结缔一场金婚,结缔
愿你能用黑色去描绘你的缤纷,描绘
愿藏好你的天真 不被他们侵吞,愿藏
谨存     Hook 一个人寻找,寻找
靠近嗅一口蔷薇,蔷薇
有咸腥蕴在周围
手拨开你的防备,拨开
敞开圈起我的依偎,圈起
谦谦伪君子领演的舞台,领演
偏偏最真的我你不理睬,理睬
相遇在烟花刚刚好燃尽了小野君的三月,小野
你像是等待戈多需要一些些时间去翻阅,翻阅
是喜欢或习惯形成的荷尔蒙有点难辨别,辨别
酷酷的Strapback 长腿配Timberland
有你的漂亮的照片滤镜风格像来自英格兰,英格兰
想做你新的男友可你听的rap,男友
靠近只挑逗神经,挑逗
抱紧不触动感情,抱紧
渐渐想诚恳坦白对待,坦白
偏偏你想模糊这存在,存在
喷绘一副记录关于你我的图You’re 20 I'm 25,喷绘
然而你像起雾琉璃呈现闪烁其辞印象派,印象派
失错的艺术家,艺术家
抓不住的存在,抓不住
当你调侃世间人与人情情爱爱,情爱
是的我想你张开写得明明白白,张开
跳过冗长的开场,冗长
《不曾打开的抽屉》,抽屉
潮湿的午夏 弯曲了指针,午夏
打开的刹那 思绪在延伸,思绪
下了一场大雨淹没脑中的记忆,大雨
越来越沉 装满许下愿望的硬币,硬币
抽屉里的东西 一直都还在,抽屉
像被包上糖纸 他不会变坏,糖纸
擦掉上面的灰尘 回忆当年初吻,初吻
淡淡的想念 会敲打你的心门,心门
泡不开的情节清晰了历史票根,票根
小小的电影留下你紧握的指纹,指纹
上课时传来传去的纸条一直还在,上课时
饼干盒里咸咸的明信片的时代,咸咸的
第一个偶像的画册和海报,画册
第一封情书不知道你是否收到,情书
第一次考试成绩 瞒着家里的秘密,考试成绩
都被锁进 这不曾打开的抽屉,锁进
我有个抽屉很久不曾打开,抽屉
钥匙被遗落在哪件衣服口袋,遗落
那些记忆里的碎片静静躺着还在,记忆里
这些碎片拼接出完美的草图,草图
抽屉是守护者对它完美保护,守护者
那里面有许多未送出去的情书,送出去
它们微笑着宣告青春的落幕,落幕
我有个抽屉很久不曾打开,抽屉
钥匙被遗落在哪件衣服口袋,遗落
那些记忆里的碎片静静躺着还在,记忆里
这些碎片拼接出完美的草图,草图
抽屉是守护者对它完美保护,守护者
那里面有许多未送出去的情书,送出去
它们微笑着宣告青春的落幕,落幕
我有个抽屉很久不曾打开过,抽屉
时间的灰尘像是给它上了锁,灰尘
我有个抽屉很久不曾打开过,抽屉
裡面的故事不知想要對誰說 X2,想要
那些故事 还差些固执,故事
不曾打开的抽屉,抽屉
你表情那么认真,表情
说Babe现在六月
尽情享受每一刻,享受
和喜怒哀乐
是时候让你享受到我的威力 Babe,威力
放轻松我肯定不只是在说地位,肯定
随便你随便你我这次给你机会,机会
我喜欢牵着你的手先,喜欢
给你一个经典,经典
就像是电影情节,情节
搂着你的身体,身体
我喜欢你的高跟鞋,高跟鞋
去哪里玩没问题,问题
哥每一天都是假期
真是不好意思又是这一首
那就唱完这首Everywhere we go
可真是不好意思必须这一首
你表情那么认真,表情
说Babe现在六月
尽情享受每一刻,享受
和喜怒哀乐
天氣越來越冷記得多穿一點,天氣
送妳一件飛行外套絕對經典,飛行
二零一六台北市也跟著下雪,跟著
女孩讓我陪妳渡過整個冬天,女孩
把妳抱緊在懷裡怕妳感冒,感冒
冬天的一把火正在體內燃燒,燃燒
姑娘 tell me how you want it 我都做得到,姑娘
我能感受妳肌膚的溫度在升高,升高
來到我的房間 baby,房間
一整晚的纏綿 baby
在這寒冷冬夜 baby
怎麼可能蓋棉被純聊天 baby,棉被
妳許的願望我全都幫妳實現,全都
就讓這個冬天持續下去到永遠
真的不好意思我必須先走
等我唱完這首 everywhere we go
所以和滿舒克唱了這一首,滿舒克
你表情那么认真,表情
说Babe现在六月
尽情享受每一刻,享受
和喜怒哀乐
就让我望着你的背影,背影
每一天爱都升级,爱都
这不是在拍MV
我的Sexy lady lady
他们想方设法变美,变美
比不过你
我的Sexy babe babe
我的Sexy babe babe
我的Sexy babe babe
我知道你也睡不着 那把这首歌当安眠药,首歌
打开空调 面带微笑 闭上双眼 远离喧闹,喧闹
今晚时间足够多 情绪也萧条,足够
那就舒展眉心 平稳呼吸 放松双肩 从头到脚,眉心
可能刚回想今天发生的每个细节,回想
怎么能带着旧的心情面对接下来的时间,能带
思绪一圈又一圈 像后半根吐出的烟圈,烟圈
继续一天又一天 想后半生什么要实现,实现
默认自己的妄想症也太过严重,默认
对自己说了一句 洗洗睡吧 别太沉重,洗洗
不是天才 就算要强求 也不是纯种,纯种
没有不劳而获 生活并不都是成功,生活
然而你想起她 曾经发誓给她一个家,发誓
没有过浪漫的情人节 没有送过一束花,一束花
甚至在回忆深处 发现吵过太多架,吵过
心也痛过太多下 留下了太多的伤疤,痛过
你睁开眼 时间说服了你的思念,睁开眼
凌晨四点 代表你已经是深度失眠,失眠
抱怨白天喝的咖啡 工作让你扎堆,扎堆
每个社会细节 都有不情愿的消费,情愿
现实的残酷没有期待中的娇贵,期待
唱片机上那层灰 从来都没有消退,唱片
余言错综复杂 似乎每句都在冒昧,余言
给你一颗安眠药 让梦境重新消退,安眠药
你在想是否因为戴耳机的缘故让你失眠,耳机
所以你试图关掉音乐 重新酝酿一遍,关掉
再重新思考一切 又强迫自己一夜,思考
眉头重新紧锁 你却又一直迷恋,紧锁
总有一些回忆 能够让你手心出汗,手心
也总有以前痛苦 让你开始心烦意乱,总有
你知道再次醒来 白天依旧不那么简单,醒来
你怀疑将要成为你最难割舍的习惯,怀疑
你睁开眼 时间说服了你的怨念,怨念
凌晨五点代表你仍然在深度失眠,失眠
无奈将来的阳光 疲惫中带来希望,阳光
干脆洗个热水澡 把眼皮重新拉上,热水澡
你闭上眼 时间说服了你的深夜,说服
早晨七点 代表你成功清醒了整夜,代表
阳光已经到来 重复来临 又是一天,来临
干脆收拾好自己 把昨夜当作纪念,纪念
god damn 谁能告诉这要多久,告诉
连累的生活似乎两个人都没法走,没法
冒昧的打扰一年现在只能说分手,打扰
同样的感觉我知道你有那我也有,感觉
到过城市的每个角落从rainy到sunny day,角落
微笑到争吵现在却觉得都像是浪费,争吵
当初都想要占有对方可现在却是让位,让位
选择过相互进攻最后却只会内心防备,防备
装作什么都没发生,装作
表情也依旧诚恳,表情
重新做回陌生人,陌生人
也推卸所有责任,推卸
可能有眼泪成分,眼泪
但笑容依旧认真,笑容
面对的只有侧身,侧身
就像是模糊的特征,像是
从身体在到灵魂已经依次告别,告别
收拾完行李只能对空房间说声抱歉,空房间
我忘了还有我们的相片藏在鞋盒里面,鞋盒
干脆选择忘记因为一切不值得纪念,值得纪念
就算是不同口味,口味
但总是选择same food,选择
可能也想过附和,附和
但似乎没退路,退路
寻找倒背如流的号码再修改备注,备注
停留一分钟后犹豫是否应该删除,删除
谁能告诉我 保质期到底有多久,保质期
从小的时候 就没有爸爸妈妈的疼爱,爸爸妈妈
没有关爱 同学取笑 老师从没理睬,关爱
时间到了现在 一路走到现在,时间
疼痛和忍耐 我在这写下一切愤慨,忍耐
看着别人的努力 是那么的见效,见效
我却还是被这迷茫的生活围绕,围绕
就连韵脚都没有原来的味道,韵脚
每天只能躲在某个角落 诚心地祷告,祷告
我要怎么看 我到底要怎么办
我的人生谁能一起品尝 这过度的忍耐,品尝
这已经让我无奈 所有事物那么混乱,事物
生活没有了期待 天空变得阴霾,阴霾
上帝请给机会 从泥潭爬起来,泥潭
这一切都重来 关于我的事都由我主宰,重来
他甚至用过无数方式结束生命,生命
他们总嘲笑 那么多的做不到又做不好,嘲笑
如果能够从头再来 他想在6岁离开这个家,离开
这个倒霉的世界 如果能够 他要来决定未来的一切,能够
他知道昏暗的凌晨路灯街道 那里有他的灵魂解药和日夜的祷告,解药
他希望没人哭泣 没人难过 都面带微笑,哭泣
为什么 每个人都哭泣 每个人都难过 每个人都忘记了微笑,哭泣
都忘记微笑,忘记
都忘记微笑,忘记
都忘记微笑,忘记
爱在家里就是你的错
别说无聊就问我
天天盯着电脑你也累了,电脑
打电话给我
打扮速度一百八,打扮
今晚你要遇到他,遇到
别担心,担心
没有男朋友,男朋友
要出来全部都拥有,拥有
这里有
挑一个带走,带走
这种趴
必须要喝醉,喝醉
音乐声必须要翻倍,音乐声
这是西利 IN DA PARTY,西利
全部都是好姐妹,全部都是
YJ 出来玩 出来玩 出来玩 出来玩,出来
你们知道的,知道
必须let it swag on
要立刻calling my phone
因为有双手朝天所以他们双手甩动,双手
出来玩~,出来
配色不是rosco也不是black yellow,配色
我挑的色调不会太暗淡是舒适自由,色调
午后的阳光自然透过窗户,窗户
渲染你的灵感包括你居家的装束,居家
你知道如果是我根本不会在意参数,在意
所以挑配上衣配置裤做下身帆布,挑配
在家就能旅行,旅行
唱首la~la~la~管他深沉还是装酷,装酷
我夜晚必须like geekeres
午后醒来我的fly围满T-backs,围满
