lyric,topic
真实的自己起舞吧,努力
洋洋洒洒的起舞吧,努力
天真的孩子们起舞吧,努力
从容不迫的起舞吧,努力
真实的自己起舞吧,努力
洋洋洒洒的起舞吧,努力
天真的孩子们起舞吧,努力
让我来告诉你现在社会到处,爱情
两颗热的发烫的心和无微不至的照顾,爱情
虽然称不上是什么大牌恋爱专家,爱情
更没有上市档次公司 只是一个饶舌玩家,爱情
这就是一首很可爱的歌,爱情
这就是很可爱很可爱很可爱的歌,爱情
你偷偷的跟我说你喜欢“谢谢你的爱1999”,爱情
我现在口袋里还真的没有几两银子,爱情
我说我从天蝎那边来可能有经过,爱情
于是我丢下了没有必要留下的,爱情
带你坐上月牙看爱心雪花又下了,爱情
他介于梦与现实的界限,爱情
同时被两者给抛弃,爱情
梦是他一路的军饷,爱情
梦是他一路的景象,爱情
这是一片不被打扰的宇宙,爱情
思绪流浪在一片红色的记忆,爱情
这感觉琢磨不透,爱情
你先别忙著google,爱情
出口的 都是让你触动的字,爱情
you know 是那些懵懂的事,爱情
或是初中回家途中要主动的事,爱情
轻松的flow 思绪天马行空的走,爱情
是淡淡的心动 隐瞒著心中的愁,爱情
青柠檬的酸 信封里暧昧的单字,爱情
形容这口感 有多少人会贪吃,爱情
你微笑著 阅读著自己的过去,爱情
岁月略过了烦恼 把多余过滤,爱情
或许你们没演过躲雨的桥段,爱情
过于少女的情节 被现实停演,爱情
积灰的心事 琥珀般精致,爱情
静止的字 和跳跃的音阶,爱情
错过的姻缘 男孩丢了她名字,爱情
也许哪天想起是因为收到女孩的请柬,爱情
若回到那诉说爱的年代,爱情
多少柔情似水 止于暧昧,爱情
那段 always keep in my mind,爱情
微风的柔弱唤醒当初那种似懂非懂,爱情
心中对她夸张的形容也算是种吹捧,爱情
你归拢著 过往中逐渐失去的花瓣,爱情
对于那青涩岁月 留恋在思绪中发散,爱情
在昔日里 耳边清澈的言语,爱情
在夕阳的衬托下 如金色的旋律,爱情
这激起了你对情感最波澜的延续,爱情
留下的联想是那至今未播完的全剧,爱情
那台记忆的时光电梯你还想去乘坐,爱情
带著遐想沉浸 在女孩羞涩文静,爱情
和曾经 那烙印在你脸颊上的唇印,爱情
或许如今女孩闪耀著指间的钻戒,爱情
也或许她对男孩的记忆已变得淡却,爱情
但岁月不曾冲淡那些暧昧的话,爱情
当你想起那个早已说过再会的她,爱情
这感觉很美 给了她一个特别称谓,爱情
可是现在谁还记得谁,爱情
你的怀里换了多少个人依偎,爱情
若回到那诉说爱的年代,爱情
多少柔情似水 止于暧昧,爱情
那段 always keep in my mind,爱情
一丝孤寂随著脊椎攀上了身,爱情
再也不能带你去回忆里,爱情
再也不能带你去我心里,爱情
留下的奖品是对回忆的浓缩,爱情
虽然已不再能够带你去听海,爱情
如果你問我 是否有困惑,物欲
那答案是真的 想想也真扯,物欲
有沒有follow自己的dream 遵循自己的誓言,物欲
一個Unify的Nation 用Thug的力量,物欲
如今你Blowing in the wind 不知了去向,物欲
留下來的是你的fan Hiphop是你的name,物欲
Hiphop所到過的地方 全部都是你的Land,物欲
Rap是你的Man Heaven是你的End,物欲
如果沒有你的Strength Hiphop不可能Change,物欲
但我make the beat 我放著,物欲
我hit the rhyme 我唱著,物欲
有沒有follow自己的dream...,物欲
Dr.paper 来自颜社,物欲
套上全新灰色的hoodie,物欲
冷风吹着脸看起来有点 bully,物欲
搭乘的路线和裤子搭配,物欲
都是咖啡色,物欲
引人注意的是脚上那双penny,物欲
那是 old school,物欲
穿过人群的动作 so smooth,物欲
改变气氛 因为尴尬的温度,物欲
烟圈和热气纯白色的吞吐,物欲
潮湿的城市是多少人的归宿,物欲
每个酒吧,物欲
每个派对,物欲
每个 night club,物欲
灯红酒绿 这种场景都习惯,物欲
早睡晚起像不懂的人多奇怪,物欲
哪张笑脸传出,物欲
哪个声音富有腔调的,物欲
配上这种节奏生活的香料吧,物欲
那些多的痛苦当做良药吧,物欲
如果今晚没有烦恼那就kiang掉吧,物欲
拖着慢慢的步伐,物欲
想起那些人那些年那些来去,物欲
那些不能回避的气氛传递着,物欲
我们秀的那些才艺,物欲
拖着慢慢的步伐,物欲
想起那些人那些年那些来去,物欲
那些不能回避的气氛传递着,物欲
慢慢回忆那个空间里 我们chill着,物欲
那扩散的形状 没有规则,物欲
King size 原汁原味 没别的 flavor,物欲
旧的喜美不是新的 C.R.V,物欲
那时间的计程车转到 I.C.R.T,物欲
往夜晚的最后一站,物欲
就追着在歌的最后一段,物欲
留着最后一半的体力,物欲
调配着比例,物欲
兄弟们互相砥砺,物欲
说未来大如宇宙这挫折小如米粒,物欲
这过程没有骨气,物欲
那怎么在寒冬中继续成长,物欲
有人鼓励 那也有人阻挡,物欲
宁愿不是为了那些狗屎,物欲
吵得脸红耳赤,物欲
而是酒精使然 那场子没人惹事,物欲
每个人的 pose 都尝试用脑记下,物欲
醉了还有 overdose,物欲
结局令人惊讶的八卦,物欲
每个低温的午夜,物欲
拖着慢慢的步伐想起,物欲
那些人那些年那些来去,物欲
我们秀的那些才艺,物欲
拖着慢慢的步伐想起,物欲
那些人那些年那些来去,物欲
慢慢回忆那个空间里 我们 chill 着,物欲
在外面有点冷的时候继续的赌,物欲
把生命当筹码在这继续的煮,物欲
把音乐当食物不怕继续的苦,物欲
原料进口继续的补,物欲
当外面有点冷的时候继续的追,物欲
把音乐当美女 只管继续的亏,物欲
白天黑夜 继续的挥,物欲
蒙蒙雾气环绕,物欲
这感觉多了分冷冽,物欲
有多少悲欢离合 兴奋和哽咽,物欲
哪怕醒来不是在家 找不到手机,物欲
给大拇指吧,努力
兄弟still cool with it,努力
把外套穿上 前往下个据点,努力
难得轻松,努力
在外面有点冷的时候 兜风,努力
唱的哪些歌 打到了心中,努力
你跟着升空,努力
我们 show 的那些才艺,努力
慢慢回忆那个空间里 我们 chill 着,努力
我们秀的那些才艺,努力
我们 chill 着 chill 着,努力
总说这是现实的社会,努力
别管谁在背后多嘴,努力
我只想要飞的更高,努力
你干嘛要拖我下水,努力
有时觉得很累,努力
因为有人在拉我的后腿,努力
竞争公平却残酷,努力
没有谁对不起谁,努力
就像个赌徒准备下赌注,努力
心疼他伤痕累累,努力
但抱歉我更不想输,努力
不想踩着你往上爬,努力
我确实确实不舍,努力
这是 gamerules,努力
冲吧没人想当 loser,努力
很多事情长大后才知道,努力
比赛前鞠躬敬礼再把对手摔倒,努力
只想要接近目标 摔倒要保持微笑,努力
最后的骄傲在最好的年华,努力
你知道我定能做的比谁都好,努力
终日奔波苦一刻不得闲,努力
这场游戏谁是敌谁是友,努力
谁能够帮我一手,努力
看似兄弟却背弃着我,努力
念情份我下不了手,努力
人生关卡管它有多险恶,努力
我依然喝着酒,努力
直达顶端踩着醉步,努力
一样横着走,努力
当你在看着我的眼神,努力
你别带着恨意,努力
加入这场游戏想要胜利,努力
只想存活你得争气,努力
我强者生存利益迷人,努力
继续沉沦维持生态平衡,努力
最好低落恍神将他一次给击沉,努力
终日奔波苦一刻不得闲,努力
物竞天择别问我为何,努力
要尊重这规则,努力
扑火的飞蛾 big brother,努力
这是一场大逃杀,努力
你怕了吗那就别搞砸,努力
别停滞不前,努力
在这屋檐有食物链,努力
度日如年心结逐渐浮现,努力
别怪我肤浅和他就是不如不见,努力
看你碍眼有人爱演无间道,努力
别忘了最后只有一个赢家放鞭炮,努力
别先跑别高兴得太早,努力
愿赌服输我们都是赌徒,努力
别当个思想的巨人行动的侏儒,努力
人之初性本善还是本恶人的本色,努力
人在做啊天在看那双眼睛,努力
叫做 big brother,努力
终日奔波苦一刻不得闲,金钱
我在干大事你不要乱,金钱
那些蝇头小利留著 宁可不要赚,金钱
承认吧 没有好处的活谁要干,金钱
没有载完整船黄金 我们不靠岸,金钱
女人想要钻戒 五星级的饭店,金钱
小子没有碰过活的拜金 没有概念,金钱
WORK HARD 到半夜 其他人都在睡,金钱
我们来的地方 每个兄弟都想上位,金钱
谁管HIPHOP 还不HIPHOP太小家子气,金钱
国中还没毕业 我就学会做生意,金钱
天生干大事的少年董 比富二代争气,金钱
没有含著金汤匙 超工时 疯捞十亿,金钱
想要尬阮乔平大 拿钱来讲,金钱
干大事只看数目,金钱
没在看小额利润 嘿拢多讲,金钱
进帐塞爆我的帐户,金钱
我从来不找靠 自己当作股票,金钱
干大宗要够狠 冻未条的咖小先跑,金钱
当我在家数钞票 出手似阔少,金钱
现在换我跟阮兄弟主事拢无你的局,金钱
干得高调才醒目 北七还搞不清楚,金钱
顶住几十个亿 服我的人都在同一路,金钱
插旗横扫拓疆土 兄弟们干遍江湖,金钱
挡我的发财路那些绊脚石全部都铲除,金钱
我在养家活口 把现金夺走,金钱
快发牌结局要发财垃圾赶快挪走,金钱
挡路门都没有 钱在跟你挥手,金钱
莎呦那啦别想发达把你马子亏走,金钱
胸怀大志 赚钱不偷懒,金钱
享受过后我才不想糊口饭,金钱
拼了命再往上闯荡我的状况狂妄,金钱
老乡榜样 传遍在地方上,金钱
花光不紧张 因为一直进帐,金钱
丰收景象 就像挖到金矿,艰难不易
听一些疗伤的歌,艰难不易
抛开那些过往只为当下而活,艰难不易
车门开了 有人急着抢座,艰难不易
寻梦的 坐在通道唱歌,艰难不易
朝九晚五 上班却在打游戏,艰难不易
下班聚餐 每个人都在看手机,艰难不易
晃着 微博 陌陌 微信,艰难不易
跟素昧平生的人说 我离你最近,艰难不易
桌上的啤酒 都快没气,艰难不易
那我先干了 你们随意,艰难不易
我希望我走时能带着醉意,艰难不易
回去 家人都已经熟睡,艰难不易
门口的字条写着饭在橱柜,艰难不易
这种爱让我选择赎罪,艰难不易
所以梦想在内心深处继续宿醉,艰难不易
主动放弃 会有些舍不得,艰难不易
得过且过 终归是错误的,艰难不易
太多的人 被现实说服了,艰难不易
也不断劝着别人执着何苦呢,艰难不易
我不想活在无限遗憾里,努力
我认准骨头就在鸡蛋里,努力
我开心每天活在期盼里,努力
有时梦想藏在稀饭里 UH,努力
我重新写谱我靠谱,努力
我杀出血路这道路,努力
记录这每一个脚步,努力
一步一脚印 一步一脚印 UH,努力
至少我站在台上有人飞鞋,努力
至少证明梦想没有betray me,努力
我用力唱到舌头都没了味觉,努力
想听你欢呼到我的耳朵留血,努力
给你听我写的歌,努力
不去担心未来只为当下而活,努力
也为了明天而活,努力
来跟我一起拼搏,努力
这里有大炮 金子 卡斯 鹰子,努力
这是KOZ 和 Blow 送给T-crash的歌词,努力
DONIY 恩德 李魏西 和镜子,努力
强大到让人再也无法停止,努力
要证明给我同时证明给你看,努力
要让你听我们的歌变成习惯,努力
要激励你去和梦想并肩作战,努力
HEY 给你听我们的歌,努力
HEY 只为当下而活,努力
hey 也为了明天而活,努力
hey 这首歌为你而做！！！,努力
又到了夏天 躁动的季节,努力
大声地告诉世界 我已经毕业,努力
在这里有欢笑 也有泪水,努力
把试卷折成纸飞机任它自由坠毁,努力
告别陪伴了我多年的那辆自行车,努力
仿佛在对我说,努力
去飞吧 你一定行的,努力
还记得它带我穿越了阳光和雨天,努力
摔倒再爬起 直到18岁的今天,努力
谁不曾有过对未来的迷茫,努力
把梦放飞到空中,努力
只有风知道它的去向,努力
即将要离别那段反复走过的路,努力
还有那一本本堆满课桌的书,努力
黑板上还残留着粉笔的痕迹,努力
眼前不断地浮现出老师讲课的身影,努力
把回忆收进书包,努力
我要开始新的生活,努力
兄弟们一路走好,努力
在成功的彼岸等我,努力
你走进我的心里占据了我的记忆,爱情
于是变成了我欢笑和流泪的秘密,爱情
才发现原来自己也有去爱的勇气,爱情
甚至还具备为爱去做一切的动力,爱情
每当清晨走进教室,爱情
我总是寻找着你,爱情
多么地怀念你朗读时那亲切的声音,爱情
上课的时候总是忍不住回头看你,爱情
写一千遍你的名字,爱情
想说我喜欢你,爱情
不知不觉你出现在我的每篇日记,爱情
当我胡思乱想脑海出现的一定是你,爱情
为了你 我不顾一切和他们大打出手,爱情
忘记了伤痛 当你擦拭着我的伤口,爱情
眼泪划过你的脸庞 我开心却又感伤,爱情
总有那么一些人一些事永远不会淡忘,爱情
和你在操场数星星的那些晚上,爱情
我有过无数个关于黎明的幻想,爱情
初恋的孩子们互相安慰和祝福,爱情
过完这个夏季之后踏上各自的路途,爱情
他决定为了她 留下来复读,爱情
爱是种回报也需要你的付出,爱情
越长大越孤单,爱情
那是岁月的玩笑,迷茫
我放声地哭喊,迷茫
宣泄成长的烦恼,迷茫
不需要犹豫徘徊,迷茫
青春需要梦想来承载,迷茫
在那遥远的未来,迷茫
又是谁在为我等待,迷茫
我在这三万英尺的高空,迷茫
幻想着城市坐落在空中,迷茫
水分凝结成云层上的交通,迷茫
这里会不会听见教堂的敲钟,迷茫
海市蜃楼也会有擦肩而过的对视,迷茫
无声无息,迷茫
只有灵魂在飞驰,迷茫
孩子们不用再被强迫去做小偷,迷茫
不用再被病魔折磨死在小时候,迷茫
我不想再看见人类创造的酷刑,迷茫
等待被屠杀的动物们,迷茫
恐惧的眼睛,迷茫
就让上天来弥补宗教中的缺陷,迷茫
把爱传播给世界,迷茫
放弃血腥的祭典,迷茫
血泊中 幸存者颤抖的无助,迷茫
没有救世主 谁能让这一切结束,迷茫
大地血流成河,迷茫
蒸发到天空,迷茫
天使也在落泪,迷茫
落到了历史的心中,迷茫
他们砍下同类的头 举在空中,迷茫
在马路上示众,迷茫
嘘 请给世界一刻久违的宁静,迷茫
天空之城远离人间烟火 格外平静,迷茫
盲人获得了光明,迷茫
市民不分族群,迷茫
那里没有监狱 械斗和毒品,迷茫
苗瑶部落不再在金三角种植罂粟,迷茫
被驱逐过的人们重心踏上回家的路,迷茫
从古希腊到罗马再到巴比伦帝国,迷茫
找回失落的文明 穿越时空,迷茫
长河中的伟人 所有灭绝的物种,迷茫
一片安详的境界 没有惊恐和恶梦,迷茫
如果这世间没有了酸甜苦辣,迷茫
如果不用再为生活奔波挣扎,迷茫
如果没有贫贱和富裕 没有阶级,迷茫
如果没人奋斗一生只为了一个家,迷茫
也许生命会失去原本的意义,迷茫
但是还有人没来得及明白就早已离去,迷茫
病床上,迷茫
孩子们和冰冷的仪器相依为命,迷茫
护士和父母 不知不觉心痛到黎明,迷茫
无法忘却那些镜头前的微笑,迷茫
世界上最美的照片,迷茫
飘向天,迷茫
在这个夏天有我陪着你,爱情
我变成仙女棒你攥手里,爱情
我给你带来完美防御 走到哪都不会下雨,爱情
让我这次真的彻底为了你,爱情
u be my 爱你是我的唯一,爱情
二十四小时看你的美丽,爱情
在你的耳边不停吹气 陷入你温柔的陷阱,爱情
我说我喜欢你 爱看着你 也爱听你的小秘密,爱情
但如果你不告诉没有关系尝尝我的威力,爱情
在被窝游来游去但是我看还不够,爱情
如果是早上起来那种感觉刚刚好,爱情
在搂着你的腰部用力但是你别跑,爱情
甜蜜蜜 谁让我爱了你,爱情
你的笑容飞来我怀里,爱情
不怪你 不怪你太调皮,爱情
我一直拥有你,爱情
在这个夏天有我陪着你,爱情
我变成仙女棒你攥手里,爱情
我给你带来完美防御 走到哪都不会下雨,爱情
让我这次真的彻底为了你,爱情
看见你的时候 每一次我都很害羞,爱情
求求你放过去我 噢女神真的拜托,爱情
不小心惹她生气  一整天高姿态,爱情
如果你今天生气不理我 我明天还会在重来,爱情
嗯哼 别低着头嘿 girl,爱情
我们牵着手继续走,爱情
无论你的开心难过 我也都会去接受,爱情
包容你的曾经 当旋律慢慢的想起,爱情
就算没有闹钟 我也不去定时不想你,爱情
想你 想你  想你  想你,爱情
无数次从脑海闪过我都在想,爱情
遇见你就是不经意间得了奖,爱情
我又回到了两个人的电影院,爱情
一座小城 和一个过不完的夏天,爱情
在这个夏天有我陪着你,爱情
我变成仙女棒你攥手里,爱情
我给你带来完美防御 走到哪都不会下雨,爱情
让我这次真的彻底为了你,爱情
u be my 爱你是我的唯一,爱情
二十四小时看你的美丽,爱情
在你的耳边不停吹气 陷入你温柔的陷阱,爱情
纯正的血统 也够有毅力,物欲
才代表这地 下上来透口气,物欲
Me 狮子王 和 C double E,物欲
不是非往你脑子里插播一,物欲
首歌太简单 但 也不容易,物欲
毕竟老鼠在 锅 里不能用杀虫剂,物欲
你想要钻石还是玻璃,物欲
想要G SHOCK 还是ROLEX,物欲
别跟我提 你又做了什么交易,物欲
都是猫腻 yeah I promise,物欲
带着我的部队,物欲
一步一步一步在这条路上,物欲
目的明确 不再是个莽将,物欲
更不是偶像 我给你做个榜样,物欲
任你轻我笑我 诋毁和无视我,物欲
而我在我自己世界闲庭信步,物欲
为了迎合效果 愚昧的阻止我,物欲
直到总有一天都会原形毕露,物欲
这季度搭载艺术的巨著拉开序幕,物欲
记住曾经那些最开始的记录者,物欲
都熟视无睹 于事无补,讨厌
keep it real变成你最后的庇护所,讨厌
深陷江湖中的恩怨,讨厌
呈现容易将你蒙骗,讨厌
是不是要更加疯癫才能登上封面,讨厌
留下话题 噱头以供世人争辩,讨厌
不会演戏就该任劳任怨,讨厌
说出了真实则令人生厌,讨厌
拿回我们应该得到的尊重,讨厌
再给它贴标签让黑怕蒙面,讨厌
惯用把戏 刻意彰显棱角,讨厌
投向我的瓦砾 用来搭建城堡,讨厌
揭掉悬赏通告 掀起全场风暴,讨厌
So check my style当心被我横扫,讨厌
蓄力已久 亦敌亦友,讨厌
无需再和谁争斗 提笔以后,讨厌
创造新的风格唯独我自己具有,讨厌
随心所欲自由依旧 予取予求,讨厌
暴风骤雨的窗外,讨厌
利益谋取的当代,讨厌
建立各自的帮派,讨厌
遍地是绚丽的咒语在伤害,讨厌
像底下的岩浆喷的旺,讨厌
一个beat 三个mc分着唱,讨厌
当我举起手 你们都得跟得上,讨厌
写过的rhyme book 像是狂人日记,讨厌
让多少rappers 关起房门自闭,讨厌
让票房卖座 挤到让人窒息,讨厌
加速心跳脉搏 上演头文字D,讨厌
早已开足马力,讨厌
用这三寸不烂之舌 拍武打戏,讨厌
Got the pedal to the metal 在我身前没有对手,diss
开路先锋像台推土机在 拆除瓦砾,diss
Punch line多的像,diss
是信手捏来 有时甜言蜜语说的香,diss
有时仿佛那奔驰的野马脱了缰,diss
耍着文采好比相声界的郭德纲,diss
让文字更加赋有生命力,diss
在这固有的领地 无人能顶替,diss
时常措辞强烈需要几罐镇定剂,diss
从不轻易抛头露面行踪更隐秘,diss
精辟的押韵是标配,diss
所有形容比喻搭配的妖媚,diss
将这街头艺术发挥的高贵,diss
把你教会 和节奏大胆的交配,diss
用着我的强盗逻辑,diss
不断的屏蔽娱乐圈的娘炮萝莉,diss
不用再次强调这魔力,diss
我开始明白为什么没遇到你,diss
我再也不会像从前一样着急,diss
也许你距离我只是差毫厘,diss
像具体每一天我都会想说 Holy……,diss
看着我的眼睛 告诉我你早就有了答案,diss
我知道很多人都在盯着我 反正就要找我麻烦,diss
但是没有人可以偷走 这些年我所经历的一切,生活
我也不想扣那些细节 因为正是我们创造了这一切,生活
真的我已经说了太多年太多遍 N y v shared,生活
当绝望的自私的你也有一天 学会了如何奉献,生活
那样的你我真经常会梦见 梦见和你们笑着碰面,生活
可为什么现实和梦境一直是相反 我们互相攻击远比中枪惨,生活
挖苦讽刺是子弹的枪战 还真没谁能让我刮目相看,生活
恶语相加忘了明明相爱忘了你我都明白的一心向善,生活
可露西让你能看什么能干 难道你我就这样一生相伴,生活
那看着我的眼睛告诉我你现在的答案,生活
那按照你的习惯一半的责任都算给我,生活
我开始明白为什么没遇到你,生活
我再也不会像从前一样着急,生活
也许你距离我只是差毫厘,生活
像具体每一天我都会想说,生活
我开始明白如果我想明白 不能只是take care,生活
看随便你看 现在是换我站在对岸,生活
随便你干什么随便干 怎么办 反正都被判成罪犯,生活
不是说好了要一起找到要一起祷告一起兑换,生活
但是多少人选择了小道 而那朵花早都溃烂,生活
那道疤不用再找 眼里的沙和它在赛跑,生活
所有问题虽然温习 可总有痕迹顺应神意,生活
像是用了兴奋剂 好像又回到了青春期,生活
那让我们兵分两路继续走就那么两步争口气,生活
没钱也没关系 真的没关系,生活
别太早安逸 要不怎么会有新专辑,生活
墙怎么用金砖砌 你又怎么心欢喜,生活
为什么非要装x装高级 假装有好消息,生活
那看着我的眼睛告诉我你现在的打算,生活
晚上见面什么打扮 随便 只是别再优柔寡断 Fine,生活
那按照你的习惯一半的责任都算给我,生活
我开始明白为什么没遇到你,生活
我再也不会像从前一样着急,生活
也许你距离我只是差毫厘,生活
像具体每一天我都会想说,生活
我开始明白如果我想明白 不能只是take care,生活
出生在油库街 长大在文艺路,生活
还记得从小杨老师告诉我一定要,生活
为了奶奶争口气等我成家他一定到,生活
一转眼到了十几岁 也开始讲义气,生活
一转眼十几年 所有发小也还在一起,生活
感谢你 张老师的那句文体不限,生活
要不是因为你这首歌谁都听不见,生活
但是 抱歉 丽塔？老师我没为升学而努力,生活
因为我觉得 上学不是唯一的办法让我有出息,生活
16岁 陪伴我的只有说唱和篮球,生活
被加入篮球队 认识了全新的队友,生活
不久 之后 falling B 开始出现,生活
Me & My bro We 甚至登上杂志封面,生活
再后来 带着鱼雷 T-Fresh 加入乱战门,生活
去银川认识的小光 对制作着了魔,生活
当时的我 下决心一定要出人头地,生活
一定要写出狠的押韵 Flow要更加流利,生活
再后来认识了泰迪 每天混在一起,生活
偷偷练习 打鼓似乎找到了音乐的意义,生活
但我们好像并不满足 逐渐也有了分歧,生活
Chaos Boy 029 慢慢各奔东西,生活
于是我像所有人的18岁一样无比迷茫,生活
可我看着镜子里的自己 我不想 就这样,生活
之后 上班 工作 结婚 生子 一辈子,生活
放弃梦想碌碌无为一直到死,生活
当我冷静下来 思考 忘记了伤疤,生活
我发誓一定要 走起来 为了我的家,生活
为了她 我要做的 不只是成绩,生活
2010年NOUAS 正式成立 Psyco J-Low,生活
2010的边家村 和Killa4Nia录音 到昼夜不分,生活
Iron Mic 在那个年代如期而至,生活
我抱着试试的心态 想要去试试,生活
第一年只拿到第三 第二年全国冠军,生活
说实话从来没想过会拿上全国冠军,生活
回西安已经小有名气 帮Dirty Twins做了川流息壤,生活
还有巡演的感觉真爽 第三年 My real ghetto boy 陪我去了武汉,生活
蝉联了冠军 成了中文说常骨干,生活
所以我决定发布自己首张专辑,生活
再来一次巡演 乐此不疲,生活
巡演的路上又写了 WE ON THE WORLD TOUR,生活
真希望有一天 WE ON THE WORLD TOUR,生活
慢慢的认识的人越来越多,生活
厂牌也越来越好 中国也越来越说,生活
不知不觉 时间 又过了十年,生活
我还在为了当初那个最简单的誓言,生活
为了你的Hope 为了你的家 为了你深爱的人,生活
你的家人 All Ur Homies All Ur Love,生活
你什么时候才会出现,过去
等的其实也有一点疲倦,过去
最后燃烧完这根香烟,过去
是我能给你最长的期限,过去
路过你身边瞬间,过去
如果再多专注点,过去
会不会不再忽略,过去
坚持那么倔,过去
但喜欢的的确确,过去
像我没见过的雪,过去
在我心上留了点,过去
隐约的执念,过去
关上了房门 一个人睡,过去
听见了枪声 毫无防备,过去
慢慢变卑微 寻找着机会,过去
飞机被击坠 身体 被摧毁,过去
迟早追回,过去
属于自己的节目 寻求别人的协助,过去
今天被劫住 天人无绝路 蹒跚在学步 还站在那远处,过去
望 你到底怎么样 不用刻意学别人隐藏,过去
我还在无限的找寻,过去
何时能对上清澈的眼睛,过去
也许他在路边买着煎饼,过去
挖好的陷阱 等着你进去,过去
听到了风声 放飞了风筝,过去
太阳在东升 还是想见你 恋爱在建立 一起在这重温,过去
重温了自己的梦 听到了别人心里的痛,过去
看到了别人的苦楚 惊喜的独处,过去
何必把自己当成矮小的侏儒,过去
看 话语又断 生气离开到一拍而散,过去
带上了最后的盘缠 事情没有反转,过去
皎白的雪花落下混为一谈,过去
你什么时候才会出现,过去
等的其实也有一点疲倦,过去
最后燃烧完这根香烟,过去
是我能给你最长的期限,过去
路过你身边瞬间,过去
如果再多专注点,过去
会不会不再忽略,过去
坚持那么倔,过去
但喜欢的的确确,过去
像我没见过的雪,过去
在我心上留了点,过去
隐约的执念,过去
追溯起来时间大概从三年前开始,过去
我渐渐有了心事,过去
信赖被猜疑给侵蚀,过去
在我面前你不再放肆,过去
对着我的脸说我们到此为止,过去
别不小心又跳进了圈套,过去
yep 其实我平时没有那么多话,过去
只是想到了过往就有特别多的想法,过去
你应该庆幸我没想的复杂,过去
不然现在你大概都不太敢回去你家,过去
把伤疤掀开密密麻麻,过去
一个人的时候 不会的都去百度,过去
也会逛网购 自己一个过真的特别舒服,过去
摆脱了你的品位 哦拜托真的很老土,过去
只是话没了谁好倾诉感到有点孤独,过去
也会有人催我晚上早点睡,过去
也不是没有人陪 you know,过去
你什么时候才会发现,过去
等的其实已经非常疲倦,过去
最后燃烧完这根香烟,过去
是我能给你最长的期限,过去
路过你身边瞬间,过去
如果再多专注点,过去
会不会不再忽略,过去
坚持那么倔,过去
但喜欢的的确确,过去
是我没见过的雪,过去
在我心上留了点,过去
对你的执念,过去
哥你说得对 我不想上位,过去
我只是深藏不漏但不是内鬼,过去
哥你说得对 我一定参与教会,过去
在教会的带领下聆听你的教诲,过去
oh哥你说得对 我只是年龄还小,过去
好多东西只有 你能知道,过去
哥你说得对 被你苦口婆心下教育,过去
牛头不对马嘴最后终成一场场闹剧,过去
在你眼里我没有什么的必要性,diss
要加只能嫁给单身万年周亦沁,diss
感觉自己像是随意能看透我的内心,diss
但是看你摇头晃脑像是一个神经病,diss
没错 哥们我今天确实来过,diss
但是我佩服你能用眼神把我概括,diss
随便两句话都能成为你点睛之笔,diss
一言不合就开始讲自己英勇事迹,diss
你是神仙 名人名言挂在嘴边,diss
白手起家靠努力统治中国北边,diss
你希望 我能成为 像你那样,diss
谦虚是错 出门他吗必是张狂,diss
从什么时候开始计划不停地变化,diss
开始注意各种敬语的用法,diss
慢慢变得不被脾气操控 用笑脸煽动 是为了迎合你的捉弄 显得从容,diss
我隔着情绪看你挑战我的底线,diss
发现 被收买弱点只为活得体面,diss
哪怕都是欺骗 被改变的我已经贴上曾经最讨厌的标签,diss
哥你说得对 还是谁,diss
在你面前没有人敢犟着嘴,diss
党与革命的思想都大无畏,diss
我笑着说我能够忍受不再抵抗,diss
用笑脸伪装 不伤人 假装自己很坚强,diss
学会勉强开始不断的回想 是什么时候开始被影响 make it,diss
哥你说得对 我不想上位,diss
我只是深藏不漏但不是内鬼,diss
哥你说得对 我一定参与教会,diss
在教会的带领下聆听你的教诲,diss
Mix by 扒皮Studio/,过去
母带制作 发烧啦音乐工厂,过去
辗转反侧又到了新的开头,过去
街边的孩子有家可归并不是留守,过去
漫无目的还是在街上继续游走,过去
斩断恶念并不是在废除四旧,过去
想要学艺 练就绝技 看透廉宜,过去
没意义太努力,过去
生活不太容易,过去
指甲有时太锋利,过去
他们总是喜欢在你面前说,过去
抱怨生活抱怨社会抱怨嫌钱多,过去
得到了理想效果,过去
吹完了再来叫我,过去
太软弱 别惹祸 得过且过,过去
不容易讲不容易想,过去
不容易长大我要变强大,过去
不容易我不懂你,过去
锁住憧憬,过去
来自重庆,过去
一个人不容易,过去
不敢不努力,过去
尴尬的处境,过去
长大的年纪,过去
要学会独立,过去
心里都装着痛苦的回忆,过去
突然蹦出的灵感来自我的生活,过去
倒霉事真的多,过去
不敢跟妈妈说,过去
生活费不够我活,过去
我觉得不容易,过去
的很少遭报应,过去
有的人很走运,过去
我觉得不公平,过去
关上灯深呼吸,过去
哎,过去
有一天你朝我这么样的靠近,过去
我知道这是爱情给予我的报应,过去
我对你摆出鬼脸你在对我挑衅,过去
啊 我真的不知道my baby girl,过去
我记得 我记得 我记得你对我说要接着,过去
太晚了 太晚了 但是没有一个人歇了火,过去
该怎么样才能够戒了你这一种感情,过去
听说爱情比补品还要有十一倍的上瘾,过去
oh yeah 当你对我说我真的有点迷人,过去
你的每一次的鼓励都比风油精还提升,过去
没有别的原因 只因为我的对你信得过,过去
锅贴 豆浆 粢饭糕 和 豆腐脑,过去
你总是悄然对我说,过去
